Date,Open,High,Low,Close,Adj Close,Volume
2017-07-26,24578.150391,24720.900391,24484.900391,24670.699219,24670.699219,0
2017-07-27,24857.500000,25032.250000,24799.400391,24922.400391,24922.400391,0
2017-07-28,24744.550781,24859.750000,24651.050781,24811.300781,24811.300781,0
2017-07-31,24880.599609,25168.099609,24828.500000,25103.650391,25103.650391,0
2017-08-01,25152.849609,25179.500000,25000.900391,25122.800781,25122.800781,0
2017-08-02,25190.400391,25198.800781,24926.250000,25055.199219,25055.199219,0
2017-08-03,25002.849609,25005.150391,24619.599609,24675.050781,24675.050781,0
2017-08-04,24629.500000,24879.699219,24591.800781,24827.449219,24827.449219,0
2017-08-07,24854.150391,24979.349609,24844.449219,24906.349609,24906.349609,0
2017-08-08,24942.199219,24966.050781,24534.349609,24599.500000,24599.500000,0
2017-08-09,24519.250000,24532.400391,24328.099609,24374.599609,24374.599609,0
2017-08-10,24300.449219,24326.900391,23822.199219,24217.349609,24217.349609,0
2017-08-11,23958.250000,24191.199219,23868.300781,23985.750000,23985.750000,0
2017-08-14,24051.050781,24212.150391,24038.150391,24115.750000,24115.750000,0
2017-08-16,24188.750000,24461.199219,23947.449219,24437.699219,24437.699219,0
2017-08-17,24495.199219,24496.199219,24121.550781,24237.250000,24237.250000,0
2017-08-18,24125.300781,24130.150391,23925.949219,24074.449219,24074.449219,0
2017-08-21,24140.550781,24258.949219,23882.250000,23936.500000,23936.500000,0
2017-08-22,24080.599609,24127.449219,23852.650391,23974.449219,23974.449219,0
2017-08-23,24084.949219,24350.000000,24074.150391,24316.800781,24316.800781,0
2017-08-24,24374.750000,24411.050781,24224.849609,24274.199219,24274.199219,0
2017-08-28,24351.250000,24422.449219,24301.349609,24377.099609,24377.099609,0
2017-08-29,24302.000000,24320.949219,24103.300781,24128.949219,24128.949219,0
2017-08-30,24253.050781,24384.099609,24241.300781,24308.699219,24308.699219,0
2017-08-31,24354.349609,24354.349609,24207.699219,24318.400391,24318.400391,0
2017-09-01,24389.199219,24494.349609,24319.199219,24434.000000,24434.000000,0
2017-09-04,null,null,null,null,null,null
2017-09-05,24272.599609,24388.050781,24256.300781,24328.300781,24328.300781,0
2017-09-06,24192.400391,24331.300781,24151.099609,24279.150391,24279.150391,0
2017-09-07,24324.849609,24413.099609,24246.900391,24304.900391,24304.900391,0
2017-09-08,24409.500000,24419.250000,24273.000000,24370.800781,24370.800781,0
2017-09-11,24468.500000,24735.349609,24458.250000,24672.250000,24672.250000,0
2017-09-12,24779.150391,24821.349609,24653.599609,24784.699219,24784.699219,0
2017-09-13,24818.349609,24948.800781,24737.800781,24831.800781,24831.800781,0
2017-09-14,24857.250000,24994.300781,24815.500000,24912.250000,24912.250000,0
2017-09-15,24840.300781,24916.849609,24791.550781,24844.300781,24844.300781,0
2017-09-18,24948.150391,25105.349609,24941.750000,25046.900391,25046.900391,0
2017-09-19,25059.750000,25103.449219,24993.000000,25041.550781,25041.550781,0
2017-09-20,24984.650391,25052.599609,24938.300781,24965.050781,24965.050781,0
